name,link,address,lat,lng
Kesselhaus,https://www.berlin.de/clubs-und-party/clubguide/8871636-2857960-kesselhaus.html,Schönhauser Allee 36 10435 Berlin,52.5383047,13.4127573
KitKatClub,https://www.berlin.de/clubs-und-party/clubguide/8871648-2857960-kitkatclub.html,Köpenicker Str. 76 10179 Berlin,52.5110649,13.4170934
Lido,https://www.berlin.de/clubs-und-party/clubguide/8871690-2857960-lido.html,Cuvrystr. 7 10997 Berlin,52.4991903,13.4450753
Loci Loft,https://www.berlin.de/clubs-und-party/clubguide/8871708-2857960-loci-loft.html,Oraniendamm 72 13469 Berlin,52.6063312,13.3249547
L.U.X.,https://www.berlin.de/clubs-und-party/clubguide/8871660-2857960-lux.html,Schlesische Str. 41 10997 Berlin,52.500417,13.4437786
Matrix Club Berlin,https://www.berlin.de/clubs-und-party/clubguide/8871732-2857960-matrix-club-berlin.html,Warschauer Platz 18 10245 Berlin,52.5028375,13.4473204
Maxxim Club,https://www.berlin.de/clubs-und-party/clubguide/8871747-2857960-maxxim-club.html,Joachimstaler Str. 15 10719 Berlin,52.5020125,13.3308799
Maze,https://www.berlin.de/clubs-und-party/clubguide/8871756-2857960-maze.html,Mehringdamm 61 10961 Berlin,52.4908617,13.3871967
M-bia,https://www.berlin.de/clubs-und-party/clubguide/8871720-2857960-mbia.html,Dircksenstr. 123 10178 Berlin,52.5231331,13.4080783
Mensch Meier,https://www.berlin.de/clubs-und-party/clubguide/8871768-2857960-mensch-meier.html,Storkowerstr. 121 10407 Berlin,52.5351654,13.4524123
Musik und Frieden,https://www.berlin.de/clubs-und-party/clubguide/8871780-2857960-musik-und-frieden.html,Falckensteinstr. 48 10997 Berlin,52.5008317,13.4449051
Ohm,https://www.berlin.de/clubs-und-party/clubguide/8871792-2857960-ohm.html,Köpenicker Str. 70 10179 Berlin,52.51099749999999,13.4195219
Ost,https://www.berlin.de/clubs-und-party/clubguide/8871804-2857960-ost.html,Alt-Stralau 1 10245 Berlin,52.49715,13.46502
Phono Club,https://www.berlin.de/clubs-und-party/clubguide/8871816-2857960-phono-club.html,Pappelallee 65 10437 Berlin,52.54548,13.41666
Polygon,https://www.berlin.de/clubs-und-party/clubguide/8871834-2857960-polygon.html,Wiesenweg 1-4 10365 Berlin,52.5074565,13.4742189
Postbahnhof Club,https://www.berlin.de/clubs-und-party/clubguide/8871846-2857960-postbahnhof-club.html,Straße der Pariser Kommune 8 10243 Berlin,52.5089095,13.4373089
Prince Charles,https://www.berlin.de/clubs-und-party/clubguide/8871858-2857960-prince-charles.html,Prinzenstr. 85f 10969 Berlin,52.5030903,13.4092837
PrivatClub,https://www.berlin.de/clubs-und-party/clubguide/8871888-2857960-privatclub.html,Skalitzer Str. 85-86 10997 Berlin,52.50031509999999,13.4364465
Quasimodo,https://www.berlin.de/clubs-und-party/clubguide/8871900-2857960-quasimodo.html,Kantstr. 12a 10623 Berlin,52.5060498,13.3285723
Revier Südost,https://www.berlin.de/clubs-und-party/clubguide/8871915-2857960-revier-suedost.html,Schnellerstr. 137 12439 Berlin,52.45994719999999,13.5052907
Ritter Butzke,https://www.berlin.de/clubs-und-party/clubguide/8871927-2857960-ritter-butzke.html,Ritterstr. 24-26 10969 Berlin,52.5022132,13.4080541
Roadrunner's Paradise Club,https://www.berlin.de/clubs-und-party/clubguide/8871939-2857960-roadrunners-paradise-club.html,Saarbrücker Str. 24 10405 Berlin,52.53050589999999,13.4133779
Rummelsburg,https://www.berlin.de/clubs-und-party/clubguide/8871951-2857960-rummelsburg.html,Rummelsburger Landstr. 2-12 12459 Berlin,52.48235099999999,13.5015681
Sage Club,https://www.berlin.de/clubs-und-party/clubguide/8871969-2857960-sage-club.html,Köpenicker Str. 76 10179 Berlin,52.5110649,13.4170934
Salon zur wilden Renate,https://www.berlin.de/clubs-und-party/clubguide/8871981-2857960-salon-zur-wilden-renate.html,Alt-Stralau 70 10245 Berlin,52.4974168,13.4653804
SchwuZ,https://www.berlin.de/clubs-und-party/clubguide/8871999-2857960-schwuz.html,Rollbergstr. 26 12053 Berlin,52.4795442,13.4329424
Silverwings Club,https://www.berlin.de/clubs-und-party/clubguide/8872011-2857960-silverwings-club.html,Columbiadamm 10f 10965 Berlin,52.4827557,13.3904127
Sisyphos,https://www.berlin.de/clubs-und-party/clubguide/8872029-2857960-sisyphos.html,Hauptstr. 15 10317 Berlin,52.49360249999999,13.4920114
SO36,https://www.berlin.de/clubs-und-party/clubguide/8872059-2857960-so36.html,Oranienstr. 190 10999 Berlin,52.50039779999999,13.422182
Soda Club,https://www.berlin.de/clubs-und-party/clubguide/8872071-2857960-soda-club.html,Schönhauser Allee 36 10435 Berlin,52.5383047,13.4127573
Soulcat,https://www.berlin.de/clubs-und-party/clubguide/8872080-2857960-soulcat.html,Pannierstr. 53 12047 Berlin,52.4879549,13.4317127
St. Georg,https://www.berlin.de/clubs-und-party/clubguide/8872092-2857960-st-georg.html,Ritterstr. 26 10969 Berlin,52.502728,13.407854
Suicide Club,https://www.berlin.de/clubs-und-party/clubguide/8872104-2857960-suicide-club.html,Revaler Str. 99 10245 Berlin,52.506874,13.4567305
Surprise Club,https://www.berlin.de/clubs-und-party/clubguide/8872119-2857960-surprise-club.html,Potsdamer Str. 84 10785 Berlin,52.5035541,13.3655585
The Pearl,https://www.berlin.de/clubs-und-party/clubguide/8872137-2857960-the-pearl.html,Fasanenstr. 81 10623 Berlin,52.505224,13.3282612
Traffic Club,https://www.berlin.de/clubs-und-party/clubguide/8872149-2857960-traffic-club.html,Alexanderstr. 7 10178 Berlin,52.5232836,13.4167681
Tresor,https://www.berlin.de/clubs-und-party/clubguide/8872188-2857960-tresor.html,Köpenicker Str. 70 10179 Berlin,52.51099749999999,13.4195219
Untertage,https://www.berlin.de/clubs-und-party/clubguide/8872200-2857960-untertage.html,Mehringdamm 32 10961 Berlin,52.49382079999999,13.3880292
Void Club,https://www.berlin.de/clubs-und-party/clubguide/8872209-2857960-void-club.html,Wiesenweg 5-9 10365 Berlin,52.50741559999999,13.4763688
Watergate,https://www.berlin.de/clubs-und-party/clubguide/8872224-2857960-watergate.html,Falckensteinstr. 49 10997 Berlin,52.5010145,13.4452195
Weekend Club,https://www.berlin.de/clubs-und-party/clubguide/8872245-2857960-weekend-club.html,Alexanderstr. 7 10178 Berlin,52.5232836,13.4167681
Wild At Heart,https://www.berlin.de/clubs-und-party/clubguide/8872257-2857960-wild-at-heart.html,Wiener Str. 20 10999 Berlin,52.497491,13.43102
Yaam,https://www.berlin.de/clubs-und-party/clubguide/8872275-2857960-yaam.html,An der Schillingbrücke 10243 Berlin,52.5094965,13.4295296
Zur Klappe,https://www.berlin.de/clubs-und-party/clubguide/8872302-2857960-zur-klappe.html,Yorckstr. 2 10965 Berlin,52.4933878,13.3870139
60HZ,https://www.berlin.de/clubs-und-party/clubguide/8870898-2857960-60hz.html,Waldemarstr. 108 10997 Berlin,52.5010412,13.4282655
808 Berlin,https://www.berlin.de/clubs-und-party/clubguide/8870916-2857960-808-berlin.html,Budapester Straße 38-40 10787 Berlin,52.505429,13.3382338
